iter	Passed	Remaining
0	13	5191
1	17	3543
2	21	2877
3	25	2554
4	29	2345
5	33	2207
6	37	2113
7	41	2045
8	45	1993
9	49	1940
10	53	1895
11	57	1866
12	61	1836
13	65	1805
14	69	1778
15	73	1764
16	78	1766
17	84	1790
18	88	1783
19	93	1772
20	97	1755
21	100	1734
22	105	1721
23	109	1713
24	113	1697
25	116	1682
26	120	1669
27	124	1657
28	129	1655
29	133	1648
30	138	1649
31	143	1652
32	147	1643
33	151	1634
34	155	1626
35	160	1625
36	165	1622
37	169	1612
38	173	1602
39	176	1592
40	180	1583
41	185	1578
42	189	1571
43	193	1564
44	197	1558
45	201	1554
46	205	1546
47	209	1539
48	213	1532
49	217	1524
50	221	1516
51	225	1510
52	229	1503
53	233	1496
54	237	1488
55	241	1481
56	245	1474
57	249	1470
58	253	1463
59	257	1456
60	261	1452
61	265	1450
62	270	1446
63	274	1442
64	279	1438
65	283	1432
66	287	1427
67	291	1421
68	295	1415
69	298	1408
70	302	1402
71	308	1404
72	312	1398
73	315	1391
74	319	1385
75	324	1381
76	327	1375
77	331	1369
78	335	1363
79	340	1362
80	344	1356
81	348	1350
82	352	1344
83	356	1339
84	359	1334
85	363	1327
86	367	1322
87	371	1318
88	375	1312
89	379	1306
90	383	1302
91	388	1301
92	392	1296
93	397	1294
94	405	1300
95	412	1306
96	416	1301
97	420	1295
98	424	1289
99	428	1285
100	432	1279
101	436	1274
102	440	1269
103	444	1263
104	447	1258
105	451	1252
106	455	1247
107	459	1242
108	463	1238
109	467	1233
110	471	1227
111	475	1222
112	479	1217
113	482	1211
114	487	1207
115	491	1202
116	495	1197
117	499	1192
118	503	1189
119	507	1185
120	511	1179
121	516	1175
122	520	1172
123	524	1167
124	528	1161
125	531	1156
126	535	1151
127	539	1146
128	543	1142
129	547	1136
130	551	1132
131	555	1127
132	558	1122
133	562	1117
134	566	1112
135	570	1107
136	574	1102
137	578	1098
138	582	1093
139	586	1088
140	589	1083
141	593	1078
142	597	1073
143	601	1069
144	604	1063
145	608	1059
146	613	1055
147	618	1053
148	623	1051
149	628	1047
150	633	1044
151	637	1040
152	641	1035
153	646	1032
154	650	1028
155	654	1024
156	659	1020
157	663	1015
158	666	1010
159	670	1005
160	674	1000
161	678	996
162	683	993
163	687	989
164	691	985
165	696	981
166	700	977
167	705	973
168	709	969
169	713	965
170	718	961
171	723	958
172	727	954
173	731	950
174	736	947
175	741	943
176	745	939
177	751	937
178	755	932
179	759	928
180	764	924
181	768	920
182	773	917
183	777	912
184	782	908
185	786	904
186	790	900
187	795	896
188	799	893
189	804	889
190	808	884
191	813	881
192	818	878
193	823	874
194	828	870
195	832	866
196	837	862
197	841	858
198	846	854
199	852	852
200	857	848
201	863	845
202	867	842
203	872	838
204	877	834
205	881	830
206	885	825
207	889	820
208	894	817
209	899	813
210	903	809
211	908	805
212	912	801
213	917	797
214	921	793
215	926	788
216	930	784
217	935	781
218	940	777
219	945	773
220	949	769
221	956	766
222	963	764
223	967	760
224	972	756
225	976	751
226	981	747
227	987	744
228	994	742
229	999	738
230	1004	734
231	1008	730
232	1012	726
233	1017	721
234	1021	717
235	1025	712
236	1030	708
237	1034	704
238	1040	701
239	1047	698
240	1054	695
241	1061	693
242	1066	688
243	1069	684
244	1073	679
245	1077	674
246	1082	670
247	1086	665
248	1089	660
249	1095	657
250	1100	653
251	1105	649
252	1109	644
253	1114	640
254	1118	636
255	1123	631
256	1128	627
257	1133	623
258	1137	619
259	1141	614
260	1145	610
261	1150	605
262	1155	601
263	1159	597
264	1164	593
265	1168	588
266	1172	584
267	1177	579
268	1180	575
269	1184	570
270	1188	565
271	1193	561
272	1197	557
273	1202	552
274	1206	548
275	1210	544
276	1215	539
277	1220	535
278	1224	530
279	1228	526
280	1233	522
281	1238	518
282	1242	513
283	1247	509
284	1251	505
285	1256	500
286	1261	496
287	1265	492
288	1270	487
289	1274	483
290	1279	479
291	1283	474
292	1288	470
293	1293	466
294	1298	462
295	1302	457
296	1306	453
297	1312	449
298	1319	445
299	1325	441
300	1329	437
301	1334	433
302	1339	428
303	1343	424
304	1348	420
305	1353	415
306	1359	411
307	1364	407
308	1368	403
309	1372	398
310	1378	394
311	1383	390
312	1387	385
313	1391	381
314	1396	376
315	1400	372
316	1404	367
317	1409	363
318	1413	358
319	1417	354
320	1422	350
321	1427	345
322	1433	341
323	1439	337
324	1444	333
325	1449	328
326	1453	324
327	1458	320
328	1463	315
329	1468	311
330	1473	307
331	1477	302
332	1482	298
333	1487	293
334	1491	289
335	1496	284
336	1500	280
337	1504	276
338	1509	271
339	1513	267
340	1518	262
341	1522	258
342	1527	253
343	1532	249
344	1536	244
345	1541	240
346	1546	236
347	1550	231
348	1554	227
349	1559	222
350	1563	218
351	1568	213
352	1573	209
353	1578	205
354	1585	200
355	1589	196
356	1593	191
357	1597	187
358	1602	182
359	1606	178
360	1611	174
361	1615	169
362	1619	165
363	1624	160
364	1629	156
365	1634	151
366	1639	147
367	1643	142
368	1647	138
369	1652	133
370	1656	129
371	1661	125
372	1665	120
373	1669	116
374	1673	111
375	1677	107
376	1681	102
377	1686	98
378	1690	93
379	1695	89
380	1699	84
381	1704	80
382	1709	75
383	1713	71
384	1717	66
385	1722	62
386	1728	58
387	1735	53
388	1740	49
389	1745	44
390	1749	40
391	1754	35
392	1758	31
393	1762	26
394	1766	22
395	1771	17
396	1776	13
397	1780	8
398	1785	4
399	1789	0
