iter	Logloss
0	0.6680560702
1	0.6457897658
2	0.6265346984
3	0.6092163598
4	0.5934801974
5	0.5801164796
6	0.567667162
7	0.5571878968
8	0.5473646407
9	0.5386434295
10	0.5305117246
11	0.5236078363
12	0.5170245017
13	0.511500822
14	0.5062389576
15	0.5012160978
16	0.4971874995
17	0.4933239763
18	0.4895283545
19	0.4861826748
20	0.4833912005
21	0.4803016455
22	0.4776757769
23	0.4753705585
24	0.4732308012
25	0.4708619735
26	0.4687867899
27	0.4669299222
28	0.4652637857
29	0.4636434151
30	0.4620213083
31	0.4605754168
32	0.4591729281
33	0.4580396813
34	0.4567387552
35	0.4557101091
36	0.4547650858
37	0.4537749236
38	0.4529427957
39	0.4521000583
40	0.4512432873
41	0.4505110823
42	0.4497940682
43	0.4490522664
44	0.4485390043
45	0.4479166566
46	0.4473686723
47	0.4469081688
48	0.4463643319
49	0.4458692507
50	0.4454190674
51	0.4449174276
52	0.4445263685
53	0.4442318565
54	0.44369453
55	0.4432997576
56	0.4429274581
57	0.442540884
58	0.4422582836
59	0.4420036539
60	0.4416152955
61	0.4413128745
62	0.4410402568
63	0.4408189025
64	0.4405998149
65	0.4404293384
66	0.4402367747
67	0.4400571837
68	0.4397886169
69	0.4395975964
70	0.4394353182
71	0.4392866395
72	0.4390642244
73	0.4387989851
74	0.4385071737
75	0.4382730398
76	0.4381648222
77	0.438048985
78	0.4379178603
79	0.4377928603
80	0.43755265
81	0.4373927348
82	0.4371892722
83	0.4370860218
84	0.4369148702
85	0.436809112
86	0.4366633751
87	0.4364927057
88	0.4364009329
89	0.4363240618
90	0.4361670884
91	0.4360725185
92	0.4359661335
93	0.4358807747
94	0.4357913649
95	0.4356866195
96	0.4356164999
97	0.435534758
98	0.435471824
99	0.4353992449
100	0.4353189497
101	0.4352192198
102	0.4351249393
103	0.4350016753
104	0.4349348351
105	0.4348069897
106	0.4347574141
107	0.4346864264
108	0.4346133651
109	0.4345292119
110	0.4344722578
111	0.4344096613
112	0.4343501995
113	0.4342969106
114	0.434222306
115	0.4341696922
116	0.434115294
117	0.4340357705
118	0.4339833978
119	0.4339001126
120	0.4338357318
121	0.4337752091
122	0.4337309864
123	0.4336851242
124	0.4335906508
125	0.4335141172
126	0.4334520994
127	0.433402138
128	0.4333238683
129	0.4332801279
130	0.433240535
131	0.4332092367
132	0.433109121
133	0.433069528
134	0.4330213027
