iter	Passed	Remaining
0	3	2307
1	6	1978
2	9	1813
3	11	1742
4	14	1681
5	17	1752
6	20	1716
7	22	1691
8	25	1663
9	27	1644
10	30	1626
11	32	1616
12	38	1730
13	41	1726
14	44	1716
15	47	1717
16	52	1791
17	55	1783
18	59	1817
19	61	1795
20	64	1783
21	69	1822
22	73	1855
23	76	1841
24	79	1832
25	83	1837
26	85	1824
27	89	1826
28	92	1815
29	98	1874
30	102	1873
31	104	1855
32	106	1838
33	109	1825
34	112	1818
35	118	1848
36	120	1835
37	123	1821
38	125	1807
39	128	1796
40	133	1822
41	136	1819
42	140	1816
43	143	1814
44	147	1822
45	151	1822
46	153	1811
47	157	1808
48	160	1805
49	163	1800
50	167	1803
51	170	1792
52	172	1781
53	175	1769
54	178	1767
55	182	1776
56	185	1766
57	187	1756
58	190	1750
59	193	1743
60	197	1745
61	200	1744
62	203	1734
63	206	1725
64	209	1721
65	211	1714
66	216	1722
67	219	1713
68	221	1704
69	224	1702
70	227	1694
71	230	1689
72	234	1691
73	237	1687
74	241	1687
75	244	1684
76	248	1687
77	251	1683
78	254	1676
79	256	1669
80	260	1666
81	264	1671
82	268	1669
83	271	1666
84	274	1663
85	277	1658
86	281	1659
87	283	1652
88	286	1647
89	290	1644
90	293	1640
91	299	1653
92	303	1655
93	306	1649
94	309	1642
95	312	1638
96	317	1645
97	320	1640
98	323	1637
99	326	1632
100	332	1641
101	337	1649
102	340	1642
103	343	1639
104	348	1640
105	350	1634
106	353	1627
107	355	1620
108	358	1616
109	363	1620
110	366	1613
111	369	1610
112	373	1607
113	375	1602
114	380	1606
115	384	1603
116	387	1600
117	391	1597
118	394	1595
119	399	1596
120	401	1590
121	404	1584
122	406	1577
123	409	1573
124	414	1574
125	417	1569
126	419	1563
127	422	1556
128	424	1551
129	427	1546
130	430	1542
131	435	1542
132	437	1536
133	440	1530
134	443	1527
135	446	1523
136	451	1524
137	453	1519
138	456	1515
139	459	1509
140	461	1503
141	464	1498
142	469	1499
143	471	1494
144	474	1488
145	476	1482
146	479	1477
147	482	1474
148	486	1472
149	489	1467
150	491	1462
151	494	1456
152	496	1451
153	499	1446
154	502	1443
155	507	1443
156	510	1440
157	513	1437
158	516	1433
159	521	1433
160	524	1429
161	526	1424
162	529	1418
163	531	1413
164	535	1410
165	539	1410
166	542	1405
167	544	1400
168	547	1395
169	550	1391
170	558	1400
171	560	1395
172	564	1393
173	569	1393
174	573	1392
175	577	1391
176	580	1386
177	582	1381
178	585	1376
179	588	1372
180	592	1372
181	595	1368
182	598	1364
183	601	1361
184	605	1358
185	608	1354
186	611	1349
187	613	1344
188	616	1339
189	618	1334
190	621	1330
191	626	1330
192	628	1326
193	631	1321
194	633	1316
195	636	1311
196	639	1307
197	644	1309
198	648	1307
199	651	1302
200	653	1297
201	658	1297
202	661	1294
203	664	1289
204	667	1286
205	671	1283
206	675	1283
207	678	1279
208	681	1274
209	683	1269
210	686	1265
211	691	1265
212	695	1262
213	698	1259
214	701	1255
215	703	1251
216	708	1250
217	711	1246
